shot_id,round_id,player_id,hole,stroke_num,shot_order,outcome,distance,best_ball,mulligan,ts
1,1,1,1,1,1,good,,True,False,
2,1,2,1,1,2,overshoot,,False,False,
3,1,1,1,2,1,overshoot,,False,False,
4,1,2,1,2,2,short_pop,,True,False,
5,1,2,1,3,1,overshoot,,False,False,
6,1,1,1,3,2,hole,,True,False,
7,1,1,2,1,1,short_pop,,True,False,
8,1,2,2,1,2,ob,,False,False,
9,1,1,2,2,1,good,,False,False,
10,1,2,2,2,2,good,,True,False,
11,1,2,2,3,1,hole,,True,False,
12,1,1,2,3,2,skip,,False,False,
13,1,2,3,1,1,good,,False,False,
14,1,1,3,1,2,good,,True,False,
15,1,1,3,2,1,overshoot,,True,False,
16,1,2,3,2,2,short_pop,,False,False,
17,1,1,3,3,1,short_pop,,False,False,
18,1,2,3,3,2,overshoot,,True,False,
19,1,2,3,4,1,hole,,True,False,
20,1,1,3,4,2,skip,,False,False,
21,1,2,4,1,1,short_pop,,True,False,
22,1,1,4,1,2,ob,,False,False,
23,1,2,4,2,1,good,,True,False,
24,1,1,4,2,2,short_pop,,False,False,
25,1,2,4,3,1,grounder,,True,False,
26,1,1,4,3,2,overshoot,,False,False,
27,1,2,4,4,1,hole,,True,False,
28,1,1,4,4,2,skip,,False,False,
29,1,2,5,1,1,grounder,,True,False,
30,1,1,5,1,2,short_pop,,False,False,
31,1,2,5,2,1,grounder,,False,False,
32,1,1,5,2,2,good,,True,False,
33,1,1,5,3,1,hole,,True,False,
34,1,2,5,3,2,skip,,False,False,
35,1,1,6,1,1,grounder,,True,False,
36,1,2,6,1,2,ob,,False,False,
37,1,1,6,2,1,good,,True,False,
38,1,2,6,2,2,short_pop,,False,False,
39,1,1,6,3,1,short_pop,,True,False,
40,1,2,6,3,2,ob,,False,False,
41,1,1,6,4,1,overshoot,,True,False,
42,1,2,6,4,2,overshoot,,False,False,
43,1,1,6,5,1,overshoot,,False,True,
44,1,1,6,5,1,overshoot,,False,False,
45,1,2,6,5,2,hole,,True,False,
46,2,1,1,1,1,good,,True,False,
47,2,1,1,2,1,good,,True,False,
48,2,1,1,3,1,hole,,True,False,
49,2,1,2,1,1,good,,True,False,
50,2,1,2,2,1,good,,True,False,
51,2,1,2,3,1,hole,,True,False,
52,2,1,3,1,1,good,,True,False,
53,2,1,3,2,1,hole,,True,False,
54,2,1,4,1,1,short_pop,,True,False,
55,2,1,4,2,1,good,,True,False,
56,2,1,4,3,1,short_pop,,True,False,
57,2,1,4,4,1,short_pop,,True,False,
58,2,1,4,5,1,overshoot,,True,False,
59,2,1,4,6,1,hole,,True,False,
60,2,1,5,1,1,good,,True,False,
61,2,1,5,2,1,good,,True,False,
62,2,1,5,3,1,hole,,True,False,
63,2,1,6,1,1,good,,True,False,
64,2,1,6,2,1,short_pop,,True,False,
65,2,1,6,3,1,good,,False,True,
66,2,1,6,3,1,good,,True,False,
67,2,1,6,4,1,overshoot,,True,False,
68,2,1,6,5,1,short_pop,,True,False,
69,2,1,6,6,1,hole,,True,False,
70,3,1,1,1,1,good,tee,True,False,1781138330534.0
71,3,1,1,2,1,hole,short,True,False,1781138335406.0
72,3,1,2,1,1,good,tee,True,False,1781138337938.0
73,3,1,2,2,1,overshoot,mid,True,False,1781138342674.0
74,3,1,2,3,1,overshoot,short,True,False,1781138349831.0
75,3,1,2,4,1,hole,short,True,False,1781138352329.0
76,3,1,3,1,1,good,tee,True,False,1781138358283.0
77,3,1,3,2,1,short_pop,mid,True,False,1781138373125.0
78,3,1,3,3,1,overshoot,mid,True,False,1781138378011.0
79,3,1,3,4,1,hole,short,True,False,1781138381558.0
80,3,1,4,1,1,short_pop,tee,True,False,1781138384031.0
81,3,1,4,2,1,short_pop,long,True,False,1781138387166.0
82,3,1,4,3,1,good,long,True,False,1781138390898.0
83,3,1,4,4,1,good,mid,True,False,1781138392951.0
84,3,1,4,5,1,hole,short,True,False,1781138395020.0
85,3,1,5,1,1,good,tee,True,False,1781138407323.0
86,3,1,5,2,1,overshoot,mid,True,False,1781138414864.0
87,3,1,5,3,1,hole,short,True,False,1781138420188.0
88,3,1,6,1,1,good,tee,True,False,1781138423888.0
89,3,1,6,2,1,ob,long,False,False,1781138429359.0
90,3,1,6,3,1,good,long,True,False,1781138431444.0
91,3,1,6,4,1,good,mid,True,False,1781138435331.0
92,3,1,6,5,1,hole,short,True,False,1781138440785.0
179,6,1,1,1,1,good,tee,True,False,1781646969321.0
180,6,2,1,1,2,overshoot,tee,False,False,1781646969321.0
181,6,2,1,2,2,short_pop,short,False,True,1781647025305.0
182,6,1,1,2,1,overshoot,short,False,False,1781647040822.0
183,6,2,1,2,2,overshoot,short,True,False,1781647040822.0
184,6,2,1,3,1,overshoot,mid,False,False,1781647129682.0
185,6,1,1,3,2,overshoot,mid,True,False,1781647129682.0
186,6,1,1,4,1,hole,short,True,False,1781647155258.0
187,6,2,1,4,2,skip,short,False,False,1781647155258.0
188,6,1,2,1,1,overshoot,tee,True,False,1781647340166.0
189,6,2,2,1,2,short_pop,tee,False,False,1781647340166.0
190,6,1,2,2,1,ob,mid,False,False,1781647393590.0
191,6,2,2,2,2,short_pop,mid,True,False,1781647393590.0
192,6,2,2,3,1,good,short,False,False,1781647441924.0
193,6,1,2,3,2,good,short,True,False,1781647441924.0
194,6,1,2,4,1,hole,tap_in,True,False,1781647448012.0
195,6,2,2,4,2,skip,tap_in,False,False,1781647448012.0
196,6,1,3,1,1,good,tee,True,False,1781647543738.0
197,6,2,3,1,2,ob,tee,False,False,1781647543738.0
198,6,1,3,2,1,short_pop,mid,False,False,1781647706845.0
199,6,2,3,2,2,good,mid,True,False,1781647706845.0
200,6,2,3,3,1,hole,tap_in,True,False,1781647717292.0
201,6,1,3,3,2,skip,tap_in,False,False,1781647717292.0
202,6,1,4,1,1,good,tee,True,False,1781648012689.0
203,6,2,4,1,2,short_pop,tee,False,False,1781648012689.0
204,6,1,4,2,1,short_pop,long,True,False,1781648058779.0
205,6,2,4,2,2,grounder,long,False,False,1781648058779.0
206,6,1,4,3,1,good,long,True,False,1781648115116.0
207,6,2,4,3,2,good,long,False,False,1781648115116.0
208,6,1,4,4,1,hole,short,True,False,1781648136240.0
209,6,2,4,4,2,skip,short,False,False,1781648136240.0
210,6,2,5,1,1,good,tee,True,False,1781648215976.0
211,6,1,5,1,2,ob,tee,False,False,1781648215976.0
212,6,2,5,2,1,hole,mid,True,False,1781648352248.0
213,6,1,5,2,2,skip,mid,False,False,1781648352248.0
214,6,1,6,1,1,grounder,tee,False,False,1781648538865.0
215,6,2,6,1,2,short_pop,tee,True,False,1781648538865.0
216,6,2,6,2,1,good,long,False,False,1781648596949.0
217,6,1,6,2,2,good,long,True,False,1781648596949.0
218,6,1,6,3,1,short_pop,long,False,False,1781648659905.0
219,6,2,6,3,2,overshoot,long,True,False,1781648659905.0
220,6,2,6,4,1,good,mid,True,False,1781648724305.0
221,6,1,6,4,2,overshoot,mid,False,False,1781648724305.0
222,6,2,6,5,1,hole,tap_in,True,False,1781648728846.0
223,6,1,6,5,2,skip,tap_in,False,False,1781648728846.0
224,7,2,1,1,1,good,tee,True,False,1781648880578.0
225,7,1,1,1,2,grounder,tee,False,False,1781648880578.0
226,7,2,1,2,1,overshoot,mid,True,False,1781648927697.0
227,7,1,1,2,2,overshoot,mid,False,False,1781648927697.0
228,7,2,1,3,1,hole,short,True,False,1781648957062.0
229,7,1,1,3,2,skip,short,False,False,1781648957062.0
230,7,2,2,1,1,grounder,tee,False,False,1781649124029.0
231,7,1,2,1,2,grounder,tee,True,False,1781649124029.0
232,7,1,2,2,1,hole,mid,True,False,1781649154530.0
233,7,2,2,2,2,skip,mid,False,False,1781649154530.0
234,7,2,3,1,1,good,tee,True,False,1781649257464.0
235,7,1,3,1,2,ob,tee,False,False,1781649257464.0
236,7,2,3,2,1,ob,mid,False,True,1781649517548.0
